"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WSF2"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-25","2.24","0.00","80","95","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-26","3.36","0.00","76","86","66","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-27","3.36","0.00","75","84","65","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-28","2.91","0.00","74","84","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-29","3.80","0.00","73","81","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-30","3.80","0.00","72","80","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-01","3.36","0.00","72","80","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-02","3.13","0.00","72","80","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-03","3.58","0.00","71","78","63","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-04","2.68","0.00","70","77","62","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-05","2.91","0.00","68","75","60","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-06","3.13","0.00","71","79","62","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-07","3.80","0.00","70","78","61","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-08","3.36","0.00","70","78","62","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-09","3.80","0.00","68","76","60","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-10","3.80","0.00","70","77","62","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-11","3.36","0.00","70","77","62","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-12","3.36","0.00","69","77","61","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-13","2.91","0.00","71","80","61","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-14","3.36","0.00","72","82","61","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-15","3.80","0.00","70","79","61","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-16","2.91","0.00","70","78","61","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-17","2.91","0.00","71","81","60","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-18","2.68","0.00","75","87","62","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-19","3.36","0.00","77","89","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-20","2.91","0.00","76","88","64","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-21","2.91","0.00","74","84","63","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-22","2.68","0.00","74","84","63","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-23","2.91","0.00","78","90","66","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-24","3.13","0.00","75","84","65","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-25","3.13","0.00","73","82","64","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-26","2.68","0.00","74","84","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-27","2.91","0.00","74","82","66","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-28","2.91","0.00","74","84","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-29","2.46","0.00","73","81","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-30","2.46","0.00","75","86","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-07-31","2.46","0.00","81","95","67","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-01","3.36","0.00","80","92","68","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-02","3.58","0.00","77","87","66","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-03","3.36","0.00","75","84","65","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-04","3.13","0.00","74","83","65","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-05","3.36","0.00","76","85","66","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-06","2.91","0.00","75","84","65","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-07","3.80","0.00","73","81","64","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-08","3.13","0.00","73","82","64","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-09","2.91","0.00","73","84","62","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-10","2.24","0.00","78","90","65","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-11","2.24","0.00","79","92","65","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-12","2.91","0.00","78","90","65","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-13","2.24","0.00","78","91","65","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-14","2.46","0.00","78","89","67","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-15","2.68","0.00","78","88","68","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-16","2.68","0.00","81","93","69","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-17","2.46","0.00","81","92","69","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-18","2.91","0.00","79","90","68","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-19","2.68","0.00","76","87","65","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-20","2.46","0.00","74","84","63","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-21","2.68","0.00","73","82","64","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-22","3.58","0.00","72","80","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-23","3.13","0.00","73","81","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-24","3.36","0.00","74","82","65","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-25","3.80","0.00","73","82","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-26","2.91","0.00","72","81","63","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-08-27","2.68","0.00","71","79","63","10.1"
